"priority","origin","customer_type__c","subject","isdeleted","systemmodstamp","db_case_duration_hours__c","external_id__c","createddate","isclosed","casenumber","sfid","id","_hc_lastop","_hc_err","reason","valid__c","type"
"Medium","Twitter",NULL,"How do I exchange a product?",False,"2017-02-16 16:00:25",NULL,"Case.019","2017-02-16 16:00:25",False,"00001581","50046000000mmaDAAQ",1,NULL,NULL,"Problem Resolved",False,"Account Support"
"High","Phone",NULL,"Error on my bill",False,"2017-02-16 16:00:25",NULL,"Case.085","2017-02-16 16:00:25",False,"00001739","50046000001R8hnAAC",2,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Community",NULL,"Billing issue",False,"2017-02-16 16:00:25",NULL,"Case.086","2017-02-16 16:00:25",False,"00001740","50046000001R8hoAAC",3,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Phone",NULL,"Projector lamp replacement",False,"2017-02-16 16:00:25",NULL,"Case.091","2017-02-16 16:00:25",False,"00001746","50046000001R8haAAC",4,NULL,NULL,"Problem Resolved",False,"Product Support"
"Medium","LinkedIn",NULL,"Billing statement incorrect",False,"2017-02-16 16:00:25",NULL,"Case.088","2017-02-16 16:00:25",False,"00001742","50046000001R8hqAAC",5,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Instagram",NULL,"Incorrect bill",False,"2017-02-16 16:00:25",NULL,"Case.089","2017-02-16 16:00:25",False,"00001743","50046000001R8hrAAC",6,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Phone",NULL,"Problem with my bill",False,"2017-02-16 16:00:25",NULL,"Case.087","2017-02-16 16:00:25",False,"00001741","50046000001R8hpAAC",7,NULL,NULL,"Problem Resolved",False,"Account Support"
"High","Website",NULL,"Customer would like to upgrade",False,"2017-02-26 19:04:34",NULL,"Case.040","2017-02-16 16:00:25",False,"00001438","50046000001R8h3AAC",8,NULL,NULL,"Feature Request",False,"Account Support"
"High","Email",NULL,"Can I use your app on my phone?",False,"2017-02-26 19:04:34",NULL,"Case.038","2017-02-16 16:00:25",False,"00001447","50046000001R8hSAAS",9,NULL,NULL,"Problem Resolved",False,"Product Support"
"Critical","Instagram",NULL,"How do I upgrade?",False,"2017-02-26 19:04:34",NULL,"Case.036","2017-02-16 16:00:25",False,"00001454","50046000000mma7AAA",10,NULL,NULL,"Problem Resolved",False,"Product Support"
"Critical","Website",NULL,"How do I troubleshoot a product issue?",False,"2017-02-26 19:04:34","1","Case.035","2017-02-16 16:00:25",True,"00001455","50046000001R8hNAAS",11,NULL,NULL,"Problem Resolved",False,"Product Support"
"Medium","Twitter",NULL,"Where do I get your mobile app?",False,"2017-02-26 19:04:34","2","Case.034","2017-02-16 16:00:25",True,"00001456","50046000001R8hPAAS",12,NULL,NULL,"Problem Resolved",False,"Product Support"
"Low","Phone",NULL,"Can I access your community from my mobile device?",False,"2017-02-26 19:04:34","11","Case.033","2017-02-16 16:00:25",True,"00001493","50046000001R8hQAAS",13,NULL,NULL,"Problem Resolved",False,"Product Support"
"Medium","Mobile Device",NULL,"How can I request a new feature?",False,"2017-02-26 19:04:34",NULL,"Case.027","2017-02-16 16:00:25",False,"00001497","50046000000mma8AAA",14,NULL,NULL,"Problem Resolved",False,"General"
"Low","Twitter",NULL,"Can you help me get set up?",False,"2017-02-26 19:04:34",NULL,"Case.025","2017-02-16 16:00:25",False,"00001506","50046000001R8hVAAS",15,NULL,NULL,"Problem Resolved",False,"Product Support"
"Medium","Phone",NULL,"Items missing from shipment.",False,"2017-02-26 19:04:34","13","Case.024","2017-02-16 16:00:25",True,"00001529","50046000000mmaAAAQ",16,NULL,NULL,"Problem Resolved",False,"Account Support"
"Low","Mobile Device",NULL,"Was our last payment correct?",False,"2017-02-26 19:04:34",NULL,"Case.023","2017-02-16 16:00:25",False,"00001528","50046000000mma9AAA",17,NULL,NULL,"Problem Resolved",False,"Account Support"
"High","Mobile Device",NULL,"I have a question about my order.",False,"2017-02-26 19:04:34",NULL,"Case.022","2017-02-16 16:00:25",False,"00001531","50046000001R8hgAAC",18,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Email",NULL,"How do I create a secure password?",False,"2017-02-26 19:04:34",NULL,"Case.021","2017-02-16 16:00:25",True,"00001530","50046000000mmaBAAQ",19,NULL,NULL,"Problem Resolved",False,"Product Support"
"Critical","Facebook",NULL,"Please expedite my order.",False,"2017-02-26 19:04:34",NULL,"Case.018","2017-02-16 16:00:25",False,"00001580","50046000000mmaCAAQ",20,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Mobile Device",NULL,"I can't understand the installation instructions",False,"2017-02-26 19:04:34",NULL,"Case.017","2017-02-16 16:00:25",False,"00001582","50046000001R8hTAAS",21,NULL,NULL,NULL,False,"Product Support"
"Medium","Chat",NULL,"Help with a product issue?",False,"2017-02-26 19:04:34",NULL,"Case.016","2017-02-16 16:00:25",False,"00001584","50046000000mmaEAAQ",22,NULL,NULL,"Problem Resolved",False,"Product Support"
"High","Phone",NULL,"Product setup issues",False,"2017-02-26 19:04:34","14","Case.079","2017-02-16 16:00:25",True,"00001164","50046000001R8hEAAS",23,NULL,NULL,NULL,False,"Product Support"
"Medium","Email",NULL,"Purchase order question",False,"2017-02-26 19:04:34","18","Case.078","2017-02-16 16:00:25",True,"00001165","50046000001R8i3AAC",24,NULL,NULL,NULL,False,"Account Support"
"Low","Chat",NULL,"I received the wrong invoice.",False,"2017-02-26 19:04:34","6","Case.077","2017-02-16 16:00:25",True,"00001166","50046000001R8i0AAC",25,NULL,NULL,"New problem",False,"Account Support"
"High","Community",NULL,"Bill payment clarification.",False,"2017-02-26 19:04:34","16","Case.076","2017-02-16 16:00:25",True,"00001167","50046000001R8i4AAC",26,NULL,NULL,"New problem",False,"Account Support"
"Medium","Mobile Device",NULL,"Where do I submit a product suggestion?",False,"2017-02-26 19:04:34","15","Case.075","2017-02-16 16:00:25",False,"00001169","50046000001R8h5AAC",27,NULL,NULL,NULL,False,"General"
"Low","Email",NULL,"Customer service hours of operation.",False,"2017-02-26 19:04:34","9","Case.074","2017-02-16 16:00:25",True,"00001170","50046000001R8i1AAC",28,NULL,NULL,NULL,False,"General"
"Medium","Phone",NULL,"How do I upgrade my service?",False,"2017-02-26 19:04:34","15","Case.073","2017-02-16 16:00:25",True,"00001171","50046000001R8i5AAC",29,NULL,NULL,NULL,False,"Account Support"
"Medium","Community",NULL,"Please change my contact information.",False,"2017-02-26 19:04:34","15","Case.072","2017-02-16 16:00:25",True,"00001172","50046000001R8i6AAC",30,NULL,NULL,NULL,False,"Account Support"
"Low","Chat",NULL,"Customer called to make a payment",False,"2017-02-26 19:04:34","7","Case.071","2017-02-16 16:00:25",True,"00001173","50046000001R8h2AAC",31,NULL,NULL,NULL,False,"Account Support"
"High","Twitter",NULL,"Where can I download your mobile app?",False,"2017-02-26 19:04:34","19","Case.070","2017-02-16 16:00:25",True,"00001174","50046000001R8i7AAC",32,NULL,NULL,"Problem Resolved",False,"Product Support"
"High","Mobile Device",NULL,"Does your app work on my mobile device?",False,"2017-02-26 19:04:34","14","Case.069","2017-02-16 16:00:25",True,"00001175","50046000001R8iBAAS",33,NULL,NULL,NULL,False,"Product Support"
"Medium","Chat",NULL,"How do I set up auto-renewal?",False,"2017-02-26 19:04:34","15","Case.068","2017-02-16 16:00:25",True,"00001176","50046000001R8hUAAS",34,NULL,NULL,"Problem Resolved",False,"Account Support"
"Low","Email",NULL,"Assembly instruction help",False,"2017-02-26 19:04:34","5","Case.067","2017-02-16 16:00:25",True,"00001177","50046000001R8gvAAC",35,NULL,NULL,NULL,False,"Product Support"
"Medium","Community",NULL,"How do I change my communication preferences?",False,"2017-02-26 19:04:34","6","Case.065","2017-02-16 16:00:25",True,"00001179","50046000001R8iDAAS",36,NULL,NULL,NULL,False,"Account Support"
"Low","Facebook",NULL,"Need most recent invoice",False,"2017-02-26 19:04:34","10","Case.007","2017-02-16 16:00:25",True,"00001180","50046000001R8gtAAC",37,NULL,NULL,"New problem",False,"Account Support"
"High","Website",NULL,"Troubleshooting issues with the product",False,"2017-02-26 19:04:34","8","Case.064","2017-02-16 16:00:25",True,"00001181","50046000001R8iEAAS",38,NULL,NULL,NULL,False,"Product Support"
"High","Phone",NULL,"How do I check my order status?",False,"2017-02-26 19:04:34","17","Case.008","2017-02-16 16:00:25",True,"00001182","50046000001R8gzAAC",39,NULL,NULL,NULL,False,"Account Support"
"Medium","Email",NULL,"Can't understand installation instructions",False,"2017-02-26 19:04:34","17","Case.063","2017-02-16 16:00:25",True,"00001183","50046000001R8iFAAS",40,NULL,NULL,NULL,False,"Product Support"
"Low","Website",NULL,"Is my personal information safe?",False,"2017-02-26 19:04:34","8","Case.062","2017-02-16 16:00:25",True,"00001184","50046000001R8iGAAS",41,NULL,NULL,NULL,False,"General"
"Low","Chat",NULL,"What does your service contract cover?",False,"2017-02-26 19:04:34","10","Case.061","2017-02-16 16:00:25",True,"00001187","50046000001R8iHAAS",42,NULL,NULL,NULL,False,"General"
"High","Twitter",NULL,"I need to pay my invoice.",False,"2017-02-26 19:04:34","16","Case.060","2017-02-16 16:00:25",True,"00001188","50046000001R8iIAAS",43,NULL,NULL,NULL,False,"Account Support"
